"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C15","CGA3","1850mil","1350mil","1850mil","1350mil","1850mil","1318.504mil","T","90.00","1u"
"C31","CGA3","2325mil","1550mil","2325mil","1550mil","2293.504mil","1550mil","T","360.00","10p"
"C30","CGA3","2325mil","1475mil","2325mil","1475mil","2293.504mil","1475mil","T","360.00","10p"
"R22","RK73x1J","1650mil","650mil","1650mil","650mil","1650mil","680.512mil","T","270.00","10k"
"R4","RK73x1J","550mil","400mil","550mil","400mil","519.488mil","400mil","T","360.00","1k"
"C10","CGA3","1200mil","650mil","1200mil","650mil","1200mil","681.496mil","T","270.00","0.1u"
"C20","CGA3","1300mil","650mil","1300mil","650mil","1300mil","681.496mil","T","270.00","0.1u"
"SW1","SKRPABE010","500mil","1800mil","500mil","1800mil","581.693mil","1757.677mil","T","180.00","SKRPABE010"
"C11","CGA3","1600mil","800mil","1600mil","800mil","1600mil","831.496mil","T","270.00","0.1u"
"R3","RK73x1J","750mil","400mil","750mil","400mil","719.488mil","400mil","T","360.00","1k"
"C9","CGA3","1050mil","950mil","1050mil","950mil","1050mil","981.496mil","T","270.00","0.1u"
"C7","CGA3","1200mil","1550mil","1200mil","1550mil","1231.496mil","1550mil","T","180.00","0.1u"
"C22","CGA3","1775mil","875mil","1775mil","875mil","1775mil","906.496mil","T","270.00","0.1u"
"C21","CGA3","1850mil","875mil","1850mil","875mil","1850mil","906.496mil","T","270.00","1u"
"L3","BLM18EG221SN1D","1925mil","875mil","1925mil","875mil","1925mil","845.866mil","T","90.00","220@100MHz"
"C14","CGA3","1775mil","1100mil","1775mil","1100mil","1775mil","1131.496mil","T","270.00","0.1u"
"C13","CGA3","1850mil","1100mil","1850mil","1100mil","1850mil","1131.496mil","T","270.00","1u"
"R7","RK73x1J","1950mil","1100mil","1950mil","1100mil","1950mil","1130.512mil","T","270.00","12.1k"
"C16","CGA3","1775mil","1350mil","1775mil","1350mil","1775mil","1318.504mil","T","90.00","0.1u"
"C1","CGA3","2025mil","1100mil","2025mil","1100mil","2025mil","1131.496mil","T","270.00","0.1u"
"L2","BLM18EG221SN1D","2100mil","1100mil","2100mil","1100mil","2100mil","1070.866mil","T","90.00","220@100MHz"
"L4","BLM18EG221SN1D","1925mil","1525mil","1925mil","1525mil","1925mil","1554.134mil","T","270.00","220@100MHz"
"C23","CGA3","1850mil","1525mil","1850mil","1525mil","1850mil","1493.504mil","T","90.00","1u"
"C24","CGA3","1775mil","1525mil","1775mil","1525mil","1775mil","1493.504mil","T","90.00","0.1u"
"C12","CGA3","1500mil","1600mil","1500mil","1600mil","1500mil","1568.504mil","T","90.00","0.1u"
"C18","CGA3","1250mil","1700mil","1250mil","1700mil","1281.496mil","1700mil","T","180.00","470p"
"L1","BLM18EG221SN1D","1450mil","1700mil","1450mil","1700mil","1420.866mil","1700mil","T","360.00","220@100MHz"
"C17","CGA3","1400mil","1600mil","1400mil","1600mil","1400mil","1568.504mil","T","90.00","1u"
"R23","RK73x1J","1550mil","650mil","1550mil","650mil","1550mil","680.512mil","T","270.00","10k"
"R21","RK73x1J","1475mil","650mil","1475mil","650mil","1475mil","680.512mil","T","270.00","10k"
"C19","CGA3","950mil","1200mil","950mil","1200mil","981.496mil","1200mil","T","180.00","0.1u"
"C8","CGA3","950mil","1350mil","950mil","1350mil","981.496mil","1350mil","T","180.00","0.1u"
"R6","RK73x1J","700mil","900mil","700mil","900mil","730.512mil","900mil","T","180.00","4.7k"
"R5","RK73x1J","500mil","900mil","500mil","900mil","469.488mil","900mil","T","0.00","4.7k"
"R1","RK73x1J","1650mil","1700mil","1650mil","1700mil","1619.488mil","1700mil","T","360.00","0R"
"C4","CGA3","1125mil","1900mil","1125mil","1900mil","1125mil","1931.496mil","T","270.00","18p"
"C2","CGA3","1875mil","1900mil","1875mil","1900mil","1875mil","1931.496mil","T","270.00","18p"
"R2","RK73x1J","800mil","1800mil","800mil","1800mil","800mil","1830.512mil","T","270.00","10k"
"C6","CGA3","700mil","1800mil","700mil","1800mil","700mil","1768.504mil","T","90.00","0.1u"
"C3","CGA4","500mil","1450mil","500mil","1450mil","500mil","1414.567mil","T","90.00","10u/16V"
"R9","RK73x1J","2175mil","700mil","2175mil","700mil","2144.488mil","700mil","T","360.00","49.9R"
"L6","BLM18PG330SN1D","2600mil","1900mil","2600mil","1900mil","2629.134mil","1900mil","T","180.00","33R@100MHz"
"L5","BLM18PG330SN1D","2600mil","1100mil","2600mil","1100mil","2629.134mil","1100mil","T","180.00","33R@100MHz"
"X1","CSM1Z-A5B2C5-40-25_0D18-F","1500mil","1900mil","1500mil","1900mil","1687.008mil","1900mil","T","180.00","25MHz"
"U2","24FC512-I_SN","650mil","600mil","650mil","600mil","575mil","493.701mil","T","90.00","24FC512-I_SN"
"U1","TSQFP50P1200X1200X105_HS-65N","1400mil","1200mil","1400mil","1200mil","1547.638mil","1424.409mil","T","270.00","LAN9252I_PT"
"TPG2","TEST_POINT2","750mil","2000mil","800mil","2000mil","800mil","2000mil","T","180.00","TEST_POINT2"
"TPG1","TEST_POINT2","2100mil","250mil","2100mil","200mil","2100mil","200mil","T","90.00","TEST_POINT2"
"TP6","TEST_POINT","700mil","1400mil","700mil","1400mil","700mil","1400mil","T","0.00","SYNC1"
"TP5","TEST_POINT","500mil","1000mil","500mil","1000mil","500mil","1000mil","T","0.00","SYNC0"
"TP4","TEST_POINT","700mil","1600mil","700mil","1600mil","700mil","1600mil","T","0.00","SOF"
"TP3","TEST_POINT","500mil","1200mil","500mil","1200mil","500mil","1200mil","T","0.00","IRQ"
"TP2","TEST_POINT","200mil","1800mil","200mil","1800mil","200mil","1800mil","T","0.00","nRST"
"TP1","TEST_POINT","500mil","1600mil","500mil","1600mil","500mil","1600mil","T","0.00","3V3"
"R24","RK73x1J","3050mil","1900mil","3050mil","1900mil","3019.488mil","1900mil","T","360.00","1k"
"R20","RK73x1J","2175mil","1400mil","2175mil","1400mil","2144.488mil","1400mil","T","360.00","0R"
"R19","RK73x1J","2175mil","1325mil","2175mil","1325mil","2144.488mil","1325mil","T","360.00","49.9R"
"R18","RK73x1J","2175mil","1250mil","2175mil","1250mil","2144.488mil","1250mil","T","360.00","49.9R"
"R17","RK73x1J","2175mil","1550mil","2175mil","1550mil","2144.488mil","1550mil","T","360.00","49.9R"
"R16","RK73x1J","2175mil","1475mil","2175mil","1475mil","2144.488mil","1475mil","T","360.00","49.9R"
"R15","RK73x1J","2900mil","1100mil","2900mil","1100mil","2869.488mil","1100mil","T","360.00","1k"
"R14","RK73x1J","3050mil","1100mil","3050mil","1100mil","3080.512mil","1100mil","T","180.00","1k"
"R13","RK73x1J","2175mil","775mil","2175mil","775mil","2144.488mil","775mil","T","360.00","0R"
"R12","RK73x1J","2175mil","850mil","2175mil","850mil","2144.488mil","850mil","T","360.00","49.9R"
"R11","RK73x1J","2175mil","925mil","2175mil","925mil","2144.488mil","925mil","T","360.00","49.9R"
"R10","RK73x1J","2175mil","625mil","2175mil","625mil","2144.488mil","625mil","T","360.00","49.9R"
"R8","RK73x1J","3050mil","300mil","3050mil","300mil","3019.488mil","300mil","T","0.00","1k"
"FM3","Fiducial_Mark","350mil","2050mil","350mil","2050mil","350mil","2050mil","T","0.00","FIDUCIAL_MARK"
"FM2","Fiducial_Mark","3000mil","150mil","3200mil","150mil","3000mil","150mil","T","0.00","FIDUCIAL_MARK"
"FM1","Fiducial_Mark","350mil","150mil","350mil","150mil","350mil","150mil","T","0.00","FIDUCIAL_MARK"
"D2","DIOC2012X08N","550mil","250mil","550mil","250mil","550mil","288.386mil","T","270.00","Orange"
"D1","DIOC2012X08N","750mil","250mil","750mil","250mil","750mil","288.386mil","T","270.00","Green"
"CN4","61302021121","1450mil","250mil","1000mil","200mil","1000mil","200mil","T","90.00","0.9mmTH 2.54mmP 2x10"
"CN3","7499010211A","2839.173mil","1500mil","2917.716mil","1500mil","2667.716mil","1325mil","T","270.00","7499010211A"
"CN2","7499010211A","2839.173mil","700mil","2917.716mil","700mil","2667.716mil","525mil","T","270.00","7499010211A"
"CN1","61301211121","200mil","1050mil","200mil","500mil","200mil","500mil","T","180.00","0.9mmTH 2.54mmP 1x12"
"C34","CGA3","2325mil","1400mil","2325mil","1400mil","2293.504mil","1400mil","T","360.00","0.022u"
"C33","CGA3","2325mil","1325mil","2325mil","1325mil","2293.504mil","1325mil","T","360.00","10p"
"C32","CGA3","2325mil","1250mil","2325mil","1250mil","2293.504mil","1250mil","T","360.00","10p"
"C29","CGA3","2325mil","775mil","2325mil","775mil","2293.504mil","775mil","T","360.00","0.022u"
"C28","CGA3","2325mil","850mil","2325mil","850mil","2293.504mil","850mil","T","360.00","10p"
"C27","CGA3","2325mil","925mil","2325mil","925mil","2293.504mil","925mil","T","360.00","10p"
"C26","CGA3","2325mil","625mil","2325mil","625mil","2293.504mil","625mil","T","360.00","10p"
"C25","CGA3","2325mil","700mil","2325mil","700mil","2293.504mil","700mil","T","360.00","10p"
"C5","CGA3","500mil","800mil","500mil","800mil","531.496mil","800mil","T","180.00","0.1u"

